Year,Country,Emigrants
USA,"1981",40307
CANADA,"1981",5226
JAPAN,"1981",254
AUSTRALIA,"1981",2752
ITALY,"1981",4
NEW ZEALAND,"1981",12
UNITED KINGDOM,"1981",88
GERMANY,"1981",45
SOUTH KOREA,"1981",14
SPAIN,"1981",8
OTHERS,"1981",157
USA,"1982",44438
CANADA,"1982",4898
JAPAN,"1982",310
AUSTRALIA,"1982",2931
ITALY,"1982",8
NEW ZEALAND,"1982",25
UNITED KINGDOM,"1982",682
GERMANY,"1982",263
SOUTH KOREA,"1982",7
SPAIN,"1982",35
OTHERS,"1982",356
USA,"1983",34794
CANADA,"1983",3946
JAPAN,"1983",140
AUSTRALIA,"1983",2608
ITALY,"1983",11
NEW ZEALAND,"1983",41
UNITED KINGDOM,"1983",346
GERMANY,"1983",282
SOUTH KOREA,"1983",2
SPAIN,"1983",18
OTHERS,"1983",293
USA,"1984",34682
CANADA,"1984",2463
JAPAN,"1984",137
AUSTRALIA,"1984",2915
ITALY,"1984",19
NEW ZEALAND,"1984",55
UNITED KINGDOM,"1984",364
GERMANY,"1984",346
SOUTH KOREA,"1984",6
SPAIN,"1984",57
OTHERS,"1984",507
USA,"1985",38653
CANADA,"1985",2097
JAPAN,"1985",126
AUSTRALIA,"1985",3458
ITALY,"1985",10
NEW ZEALAND,"1985",52
UNITED KINGDOM,"1985",276
GERMANY,"1985",213
SOUTH KOREA,"1985",6
SPAIN,"1985",34
OTHERS,"1985",344
USA,"1986",40650
CANADA,"1986",3206
JAPAN,"1986",53
AUSTRALIA,"1986",4374
ITALY,"1986",4
NEW ZEALAND,"1986",37
UNITED KINGDOM,"1986",658
GERMANY,"1986",88
SPAIN,"1986",11
OTHERS,"1986",257
USA,"1987",40813
CANADA,"1987",5757
JAPAN,"1987",6
AUSTRALIA,"1987",8983
ITALY,"1987",9
NEW ZEALAND,"1987",45
UNITED KINGDOM,"1987",436
GERMANY,"1987",58
SPAIN,"1987",28
OTHERS,"1987",215
USA,"1988",41378
